Entleerungszeit (Sek),Durchflussrate (m³/s),Volumen (m³),Höhe (m)
2093.0947845801097,0.039089305403826546,414.1414141414142,3.7272727272727275
1964.2820493015572,0.039326932549408694,419.1919191919192,3.772727272727273
1836.2429850795675,0.03956313246619709,424.24242424242425,3.8181818181818183
1708.963816743302,0.03979793056592234,429.29292929292933,3.8636363636363638
1582.4311731105618,0.040031351515057455,434.34343434343435,3.909090909090909
1456.63207059278,0.04026341926506255,439.39393939393943,3.9545454545454546
1331.5538976456805,0.04049415708106946,444.44444444444446,4.0
1207.1844000128915,0.04072358756910355,449.49494949494954,4.045454545454546
1083.5116667136504,0.04095173270193292,454.54545454545456,4.090909090909091
960.5241167292277,0.041178613843628586,459.59595959595964,4.136363636363637
838.2104863459937,0.041404251772913334,464.64646464646466,4.181818181818182
716.5598171159119,0.0416286667053716,469.69696969696975,4.2272727272727275
